שם בנק,שם סניף,כתובת,שכונה / עיר,תאריך פתיחה ,תאריך סגירה
"בנק לאומי לישראל בע""מ",ג'ולס,,ג'וליס,17/12/2014,12/04/2016
"בנק ערבי ישראלי בע""מ",ג'ולס,,ג'וליס,17/12/2014,12/04/2016
"בנק לאומי לישראל בע""מ","מבואת רשב""י אשדוד","רשב""י 15 ",אשדוד,04/12/2014,
"הבנק הבינלאומי הראשון לישראל בע""מ",כפר סבא הירוקה,רפפורט 1 ,כפר סבא,09/12/2014,
"בנק הפועלים בע""מ",כפר קאסם,,כפר קאסם,14/12/2014,
"בנק מזרחי טפחות בע""מ",אזור תעשיה כפר סבא,"התע""ש 13 ",כפר סבא,15/12/2014,
"בנק מזרחי טפחות בע""מ",כהנמן,כהנמן 108 ,בני ברק,29/12/2014,
"בנק מזרחי טפחות בע""מ",יוקנעם,התמר 2 ,יקנעם עילית,30/12/2014,
"בנק לאומי לישראל בע""מ",כפר סבא הירוקה,רפפורט 3 ,כפר סבא,06/01/2015,13/07/2016
"בנק מזרחי טפחות בע""מ",כפר יאסיף,,כפר יאסיף,05/01/2015,
"בנק הפועלים בע""מ",כפר יאסיף,,כפר יאסיף,12/01/2015,
"בנק ירושלים בע""מ",בית שמש,דרך יצחק רבין 2,בית שמש,01/02/2015,
"בנק מרכנתיל דיסקונט בע""מ",נתיבות,בעלי המלאכה 200 ,נתיבות,01/03/2015,
"בנק ירושלים בע""מ",ביתר עילית,ישמח ישראל 2,ביתר עילית,01/03/2015,
"בנק הפועלים בע""מ",ערערה,,ערערה,02/03/2015,
"בנק מזרחי טפחות בע""מ",אום אל פחם,,אום אל-פחם,22/03/2015,
"בנק אגוד לישראל בע""מ",מרכז ראשלצ,ז'בוטינסקי 20 ,ראשון לציון,30/03/2015,
"בנק מזרחי טפחות בע""מ",עיר העתיקה,תפארת ישראל 16 ,ירושלים,12/04/2015,
"בנק מזרחי טפחות בע""מ","ב""ב רח' ירושלים",ירושלים 24 ,בני ברק,17/05/2015,
"בנק לאומי לישראל בע""מ",בנקאות פרטית חורב,חורב 14,חיפה,27/05/2015,
"בנק אגוד לישראל בע""מ",מרכז הלוואות,אחד העם 9 ,תל אביב -יפו,01/06/2015,
"בנק לאומי לישראל בע""מ",בנקאות פרטית רחובות,ויצמן 2 ,רחובות,21/06/2015,
"בנק מרכנתיל דיסקונט בע""מ",מרכז מומחים ירושלים,חגי 21 ,ירושלים,16/08/2015,
"בנק הפועלים בע""מ",בי אונליין,הצבר 5 ,אזור,03/09/2015,
"בנק הפועלים בע""מ",דיגיטל תל אביב נורדאו,אבן גבירול 161 ,תל אביב -יפו,11/11/2015,
"בנק הפועלים בע""מ",יבנה הירוקה,הדוגית 16 ,יבנה,23/11/2015,
"בנק הפועלים בע""מ",דיר אל אסד - בענה,,דייר אל-אסד,15/12/2015,
"בנק הפועלים בע""מ",דיגיטל חיפה,שמחה גולן 54 ,חיפה,22/12/2015,
"בנק לאומי לישראל בע""מ",שלוחת פסגת זאב,שדרות משה דיין 106,ירושלים,14/01/2016,20/05/2016
"בנק מזרחי טפחות בע""מ",שדרות,סמטת הפלדה 8 ,שדרות,11/01/2016,
"בנק לאומי לישראל בע""מ",ריינה - משהד,,ריינה,21/01/2016,
"בנק מזרחי טפחות בע""מ","קופ""ג חב' חשמל",מרדכי אנילביץ 56 ,תל אביב -יפו,24/01/2016,
"בנק הפועלים בע""מ",דיגיטל רחובות,בילו 2 ,רחובות,29/01/2016,
"בנק מרכנתיל דיסקונט בע""מ",התבור,הבזלת 2 ,כפר תבור,01/02/2016,
"בנק הפועלים בע""מ",כפר מנדא,,כפר מנדא,03/02/2016,
"בנק לאומי לישראל בע""מ",בנקאות פרטית דן,דיזינגוף 55 ,תל אביב -יפו,07/02/2016,
"בנק לאומי לישראל בע""מ",כפר כנא,,כפר כנא,10/02/2016,
"בנק לאומי לישראל בע""מ",כפר מנדא,,כפר מנדא,15/02/2016,
"בנק לאומי לישראל בע""מ",המעיין,הגליל 16 ,נצרת,17/02/2016,
"בנק לאומי לישראל בע""מ",בועיינה נוג'ידאת,,בועיינה-נוג'ידאת,18/02/2016,
"בנק לאומי לישראל בע""מ",בית ג'אן,,בית ג'ן,18/02/2016,
"בנק לאומי לישראל בע""מ",נחף,,נחף,22/02/2016,
"בנק לאומי לישראל בע""מ",כפר קרע,,כפר קרע,22/02/2016,
"בנק לאומי לישראל בע""מ",טורעאן,,טורעאן,24/02/2016,
"בנק לאומי לישראל בע""מ",סכנין,,סח'נין,24/02/2016,
"בנק לאומי לישראל בע""מ",טמרה,,טמרה,29/02/2016,
"בנק מזרחי טפחות בע""מ",א.ת.אשדוד,האורגים 11 ,אשדוד,06/03/2016,
"בנק אוצר החייל בע""מ",יבנה,הדוגית 16,יבנה,08/03/2016,
"בנק לאומי לישראל בע""מ",גוש חלב,,(ג'ש (גוש חלב,09/03/2016,
"בנק לאומי לישראל בע""מ",שפרעם,,שפרעם,09/03/2016,
"בנק לאומי לישראל בע""מ",פקיעין,,(פקיעין (בוקייעה,14/03/2016,
"בנק לאומי לישראל בע""מ",ירכא,,ירכא,14/03/2016,
"בנק אוצר החייל בע""מ",פרדס חנה,דרך הבנים 17,פרדס חנה-כרכור,15/03/2016,
"בנק לאומי לישראל בע""מ",כפר יאסיף,,כפר יאסיף,16/03/2016,
"בנק לאומי לישראל בע""מ",מעלות תרשיחא,,מעלות-תרשיחא,16/03/2016,
"בנק לאומי לישראל בע""מ",חרפיש,,חורפיש,17/03/2016,
"בנק לאומי לישראל בע""מ",אעבלין,,אעבלין,17/03/2016,
"בנק לאומי לישראל בע""מ",אום אל פחם,,אום אל-פחם,20/03/2016,
"בנק לאומי לישראל בע""מ",ג'ת,,ג'ת,21/03/2016,
"בנק לאומי לישראל בע""מ",כפר ערערה,,ערערה,22/03/2016,
"בנק לאומי לישראל בע""מ",ראמה,,ראמה,22/03/2016,
"בנק לאומי לישראל בע""מ",מרכז מסחרי שפרעם,,שפרעם,23/03/2016,
"בנק לאומי לישראל בע""מ",דבוריה,,דבורייה,23/03/2016,
"בנק לאומי לישראל בע""מ",קלנסואה,,קלנסווה,28/03/2016,
"בנק לאומי לישראל בע""מ",כאבול,,כאוכב אבו אל-היג'א,28/03/2016,
"בנק לאומי לישראל בע""מ",עראבה,,עראבה,28/03/2016,
"בנק לאומי לישראל בע""מ",אכסאל,,אכסאל,29/03/2016,
"בנק לאומי לישראל בע""מ",ג'דיידה - מכר,,ג'דיידה-מכר,29/03/2016,
"בנק לאומי לישראל בע""מ",דיר אל אסד-בענה,,דייר אל-אסד,30/03/2016,
"בנק לאומי לישראל בע""מ",הוואדי,המגינים 53 ,חיפה,30/03/2016,
"בנק לאומי לישראל בע""מ",מרכז אמידים,הגליל 16 ,נצרת,11/04/2016,09/09/2016
"בנק לאומי לישראל בע""מ",מג'אר,,מגאר,11/04/2016,
"בנק לאומי לישראל בע""מ",יפיע,,יפיע,12/04/2016,
"בנק לאומי לישראל בע""מ",ספאפרה,הרכס ,נצרת,12/04/2016,
"בנק לאומי לישראל בע""מ",ג'וליס,,ג'ולס,13/04/2016,
"בנק הפועלים בע""מ",אכסאל,,אכסאל,19/04/2016,
"בנק לאומי לישראל בע""מ",פפר,אחד העם 9 ,תל אביב -יפו,08/05/2016,
"בנק מזרחי טפחות בע""מ","עו""ז",טרמינל 3 ,נמל תעופה בן-גוריון,10/05/2016,
"בנק לאומי לישראל בע""מ",מודיעין עילית,שד' יחזקאל 2 ,מודיעין עילית,07/06/2016,
"בנק מזרחי טפחות בע""מ",כפר קאסם,,כפר קאסם,18/09/2016,
"בנק הפועלים בע""מ",דיגיטל רמת החייל,הברזל 15 ,תל אביב -יפו,19/09/2016,
"בנק מזרחי טפחות בע""מ",מגדל  העמק,שד' שאול עמור 77 ,מגדל העמק,19/09/2016,
"בנק מזרחי טפחות בע""מ",באקה אל גרביה,,באקה אל-גרביה,26/09/2016,
"בנק לאומי לישראל בע""מ",בנקאות פרטית הרצליה,המנופים 15,הרצלייה,13/11/2016,